study_id,dataset_title,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",4688,,18.0,1113,3575,826.0,200,success,,2026-04-29 16:04:53
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",20274,,134.0,5571,14703,862.0,145,success,,2026-04-29 16:04:55
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",939,,4.0,281,658,135.0,46,success,,2026-04-29 16:04:57
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",1505,,7.0,462,1043,200.0,62,success,,2026-04-29 16:04:58
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",2435,,2.0,942,1493,134.0,51,success,,2026-04-29 16:04:59
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",1773,,1.0,530,1243,89.0,34,success,,2026-04-29 16:05:01
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",3901,,8.0,1315,2586,155.0,52,success,,2026-04-29 16:05:02
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",1838,,11.0,559,1279,227.0,58,success,,2026-04-29 16:05:04
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",1277,,5.0,417,860,96.0,39,success,,2026-04-29 16:05:05
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",5179,,36.0,1686,3493,364.0,102,success,,2026-04-29 16:05:06
38597,"Polluting Sites by Census Tract and ZIP Code Tabulation Area, United States, 1987-2021",3738,,8.0,1411,2327,193.0,70,success,,2026-04-29 16:05:08
38598,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985-2023",2905,,26.0,937,1968,229.0,63,success,,2026-04-29 16:05:09
38605,"Public Transit Stops by Census Tract and ZIP Code Tabulation Area, United States, 2016-2018 and 2024",2501,,20.0,628,1873,200.0,67,success,,2026-04-29 16:05:10
38606,"Urbanicity by Census Tract, United States, 2010",725,,9.0,240,485,156.0,60,success,,2026-04-29 16:05:12
38649,"Crimes by County, United States, 2002-2014",2203,,5.0,902,1301,222.0,74,success,,2026-04-29 16:05:13
38858,"Weather by County, United States, 2003-2016",22964,,3.0,10447,12517,99.0,39,success,,2026-04-29 16:05:14
38974,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2016-2020",345,,0.0,116,229,60.0,22,success,,2026-04-29 16:05:16
39093,"Home Mortgage Disclosure Act Longitudinal Dataset by Census Tract, United States, 1981-2021",24897,,6.0,7126,17771,269.0,75,success,,2026-04-29 16:05:17
39378,"Hospitals by Census Tract and ZIP Code Tabulation Area, United States, 2023",769,,0.0,201,568,67.0,29,success,,2026-04-29 16:05:19
110663,"Land Cover by Census Tract, United States, 2001-2016",385,3522.0,,0,0,,0,success,,2026-04-29 16:05:20
120088,Code for merging ZCTA level datasets with the UDS Mapper ZIP code to ZCTA crosswalk,207,3769.0,,0,0,,0,success,,2026-04-29 16:05:21
127681," Education and Training Services by Census Tract, United States, 2003-2017",158,1052.0,,0,0,,0,success,,2026-04-29 16:05:22
127682,"Education and Training Services by ZIP Code Tabulation Area, United States, 2003-2017",27,433.0,,0,0,,0,success,,2026-04-29 16:05:24
141121,"Historic Redlining Indicator for 2000, 2010, and 2020 US Census Tracts",2814,26292.0,,0,0,,0,success,,2026-04-29 16:05:25
190141,Special Data Release for Neighborhood Context and Alzheimer's Disease and Related Dementias,0,680.0,,0,0,,0,success,,2026-04-29 16:05:26
200038,"Libraries by Census Tract and ZIP Code Tabulation Area, United States, 1992-2021",0,0.0,,0,0,,0,success,,2026-04-29 16:05:28
207966,"Civic, Social, and Religious Organizations by Census Tract and ZCTA, United States, 1990-2022",282,1120.0,,0,0,,0,success,,2026-04-29 16:05:29
208207,"Social Services by Census Tract and ZCTA, United States, 1990-2022",276,1544.0,,0,0,,0,success,,2026-04-29 16:05:30
208366,"Post Offices and Banks by Census Tract and ZCTA, United States, 1990-2022",78,391.0,,0,0,,0,success,,2026-04-29 16:05:31
208682,"Retail Establishments by Census Tract and ZCTA, United States, 1990-2022",182,1143.0,,0,0,,0,success,,2026-04-29 16:05:33
208684,"Law Enforcement by Census Tract and ZCTA, United States, 1990-2022",113,750.0,,0,0,,0,success,,2026-04-29 16:05:34
208751,"Eating and Drinking Places by Census Tract and ZCTA, United States, 1990-2022",315,1108.0,,0,0,,0,success,,2026-04-29 16:05:35
208906,"Personal Care Services and Laundry by Census Tract and ZCTA, United States, 1990-2022",95,343.0,,0,0,,0,success,,2026-04-29 16:05:37
208907,"Liquor, Tobacco, Cannabis, Vape, and Convenience Stores by Census Tract and ZCTA, United States, 1990-2022",228,1819.0,,0,0,,0,success,,2026-04-29 16:05:38
209050,"Healthcare Services by Census Tract and ZCTA, United States, 1990-2022",391,1885.0,,0,0,,0,success,,2026-04-29 16:05:39
209163,"Arts, Entertainment, and Leisure Establishments by Census Tract and ZCTA, United States, 1990-2022",204,994.0,,0,0,,0,success,,2026-04-29 16:05:41
209164,"Recreational Establishments by Census Tract and ZCTA, United States, 1990-2022",200,805.0,,0,0,,0,success,,2026-04-29 16:05:42
209313,"Grocery and Food Stores by Census Tract and ZCTA, United States, 1990-2022",386,1966.0,,0,0,,0,success,,2026-04-29 16:05:44
209324,"Dollar Stores by Census Tract and ZCTA, United States, 1990-2022",50,266.0,,0,0,,0,success,,2026-04-29 16:05:45
210581,"Standardized Area Deprivation Index (ADI) by Census Block Group, United States, 2015, 2020 and 2022",127,7273.0,,0,0,,0,success,,2026-04-29 16:05:46
220701,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985- 2023",43,370.0,,0,0,,0,success,,2026-04-29 16:05:48
222263,"Ophthalmologists by Census Tract and ZCTA, United States, 1990-2021",14,197.0,,0,0,,0,success,,2026-04-29 16:05:49
222901,"Hospitals by Census Tract and ZCTA, 2023",41,327.0,,0,0,,0,success,,2026-04-29 16:05:50
230941,"PRISM Climate of Census Tracts, United States, 1981-2024",137,1205.0,,0,0,,0,success,,2026-04-29 16:05:51
237305,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",30,261.0,,0,0,,0,success,,2026-04-29 16:05:52
301419,"Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",0,0.0,,0,0,,0,success,,2026-04-29 16:05:54
302178,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",0,0.0,,0,0,,0,success,,2026-04-29 16:05:55
302343,"Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",0,0.0,,0,0,,0,success,,2026-04-29 16:05:56
302937,"Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",0,0.0,,0,0,,0,success,,2026-04-29 16:05:57
110641,"Street Connectivity by Census Tract, United States, 2010",95,988.0,,0,0,,0,success,,2026-04-29 16:05:58
111107,"Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",324,3928.0,,0,0,,0,success,,2026-04-29 16:05:59
111109,"Public Transit Stops by Census Tract, United States, 2016-2018",221,2408.0,,0,0,,0,success,,2026-04-29 16:06:01
115006,"Crimes by County, United States, 2002-2014",289,3044.0,,0,0,,0,success,,2026-04-29 16:06:02
115323,"Fast-Food Restaurants by Census Tract, United States, 2006-2015",9,2351.0,,0,0,,0,success,,2026-04-29 16:06:03
115404,"Eating and Drinking Places by Census Tract, United States, 2003-2017",340,2534.0,,0,0,,0,success,,2026-04-29 16:06:05
115407,"Religious Organizations by Census Tract, United States, 2006-2015",4,363.0,,0,0,,0,success,,2026-04-29 16:06:06
115408,"Civic and Social Organizations by Census Tract, United States, 2006-2015",9,543.0,,0,0,,0,success,,2026-04-29 16:06:08
115543," Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",299,2324.0,,0,0,,0,success,,2026-04-29 16:06:09
115967," Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",267,2160.0,,0,0,,0,success,,2026-04-29 16:06:10
