study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",10.3886/ICPSR38506,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,4799,,19.0,1139.0,3660.0,849.0,203.0,success,,2026-06-01 14:46:54
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",10.3886/ICPSR38528,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,20913,,140.0,5732.0,15181.0,891.0,146.0,success,,2026-06-01 14:47:03
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",10.3886/ICPSR38559,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,957,,4.0,287.0,670.0,138.0,47.0,success,,2026-06-01 14:47:05
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",10.3886/ICPSR38567,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,1519,,7.0,466.0,1053.0,203.0,62.0,success,,2026-06-01 14:47:06
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",10.3886/ICPSR38569,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,2444,,2.0,945.0,1499.0,135.0,51.0,success,,2026-06-01 14:47:08
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/ICPSR38579,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,1791,,1.0,536.0,1255.0,90.0,34.0,success,,2026-06-01 14:47:10
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38580,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,3949,,8.0,1329.0,2620.0,159.0,52.0,success,,2026-06-01 14:47:11
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",10.3886/ICPSR38584,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,1880,,11.0,573.0,1307.0,234.0,60.0,success,,2026-06-01 14:47:13
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38585,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,1302,,5.0,425.0,877.0,98.0,39.0,success,,2026-06-01 14:47:15
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",10.3886/ICPSR38586,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,5279,,38.0,1719.0,3560.0,373.0,102.0,success,,2026-06-01 14:47:16
38597,"Polluting Sites by Census Tract and ZIP Code Tabulation Area, United States, 1987-2021",10.3886/ICPSR38597,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38597,3840,,8.0,1445.0,2395.0,200.0,70.0,success,,2026-06-01 14:47:18
38598,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985-2023",10.3886/ICPSR38598,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38598,3115,,28.0,999.0,2116.0,241.0,63.0,success,,2026-06-01 14:47:19
38605,"Public Transit Stops by Census Tract and ZIP Code Tabulation Area, United States, 2016-2018 and 2024",10.3886/ICPSR38605,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38605,2579,,21.0,647.0,1932.0,206.0,67.0,success,,2026-06-01 14:47:21
38606,"Urbanicity by Census Tract, United States, 2010",10.3886/ICPSR38606,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38606,743,,9.0,245.0,498.0,160.0,60.0,success,,2026-06-01 14:47:23
38649,"Crimes by County, United States, 2002-2014",10.3886/ICPSR38649,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38649,2216,,5.0,906.0,1310.0,226.0,74.0,success,,2026-06-01 14:47:24
38858,"Weather by County, United States, 2003-2016",10.3886/ICPSR38858,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38858,23189,,3.0,10559.0,12630.0,100.0,39.0,success,,2026-06-01 14:47:26
38974,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2016-2020",10.3886/ICPSR38974,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38974,350,,0.0,118.0,232.0,61.0,22.0,success,,2026-06-01 14:47:28
39093,"Home Mortgage Disclosure Act Longitudinal Dataset by Census Tract, United States, 1981-2021",10.3886/ICPSR39093,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39093,25768,,7.0,7367.0,18401.0,281.0,76.0,success,,2026-06-01 14:47:29
39378,"Hospitals by Census Tract and ZIP Code Tabulation Area, United States, 2023",10.3886/ICPSR39378,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39378,848,,0.0,225.0,623.0,73.0,29.0,success,,2026-06-01 14:47:31
110663,"Land Cover by Census Tract, United States, 2001-2016",10.3886/E110663,https://www.openicpsr.org/openicpsr/project/110663/version/V1/view,385,3573.0,,,,,,success,,2026-06-01 14:47:33
120088,Code for merging ZCTA level datasets with the UDS Mapper ZIP code to ZCTA crosswalk,10.3886/E120088,https://www.icpsr.umich.edu/sites/icpsr/view/studies/120088,208,3845.0,,,,,,success,,2026-06-01 14:47:34
127681," Education and Training Services by Census Tract, United States, 2003-2017",10.3886/E127681,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127681,161,1077.0,,,,,,success,,2026-06-01 14:47:35
127682,"Education and Training Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E127682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127682,27,450.0,,,,,,success,,2026-06-01 14:47:36
141121,"Historic Redlining Indicator for 2000, 2010, and 2020 US Census Tracts",10.3886/E141121,https://www.icpsr.umich.edu/sites/icpsr/view/studies/141121,2853,26955.0,,,,,,success,,2026-06-01 14:47:38
190141,Special Data Release for Neighborhood Context and Alzheimer's Disease and Related Dementias,10.3886/E190141,https://www.icpsr.umich.edu/sites/icpsr/view/studies/190141,0,721.0,,,,,,success,,2026-06-01 14:47:39
200038,"Libraries by Census Tract and ZIP Code Tabulation Area, United States, 1992-2021",10.3886/ICPSR200038,https://www.icpsr.umich.edu/sites/nanda/view/studies/200038/versions/V5.0,4,,,4.0,0.0,,,success,,2026-06-01 14:47:40
207966,"Civic, Social, and Religious Organizations by Census Tract and ZCTA, United States, 1990-2022",10.3886/E207966,https://www.icpsr.umich.edu/sites/icpsr/view/studies/207966,288,1196.0,,,,,,success,,2026-06-01 14:47:51
208207,"Social Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208207,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208207,283,1639.0,,,,,,success,,2026-06-01 14:47:53
208366,"Post Offices and Banks by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208366,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208366,82,414.0,,,,,,success,,2026-06-01 14:47:54
208682,"Retail Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208682,186,1184.0,,,,,,success,,2026-06-01 14:47:55
208684,"Law Enforcement by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208684,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208684,114,793.0,,,,,,success,,2026-06-01 14:47:57
208751,"Eating and Drinking Places by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208751,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208751,323,1179.0,,,,,,success,,2026-06-01 14:47:58
208906,"Personal Care Services and Laundry by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208906,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208906,97,375.0,,,,,,success,,2026-06-01 14:47:59
208907,"Liquor, Tobacco, Cannabis, Vape, and Convenience Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208907,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208907,233,1892.0,,,,,,success,,2026-06-01 14:48:00
209050,"Healthcare Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209050,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209050,395,1964.0,,,,,,success,,2026-06-01 14:48:02
209163,"Arts, Entertainment, and Leisure Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209163,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209163,213,1138.0,,,,,,success,,2026-06-01 14:48:03
209164,"Recreational Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209164,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209164,204,865.0,,,,,,success,,2026-06-01 14:48:05
209313,"Grocery and Food Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209313,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209313,394,2071.0,,,,,,success,,2026-06-01 14:48:06
209324,"Dollar Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209324,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209324,52,295.0,,,,,,success,,2026-06-01 14:48:07
210581,"Standardized Area Deprivation Index (ADI) by Census Block Group, United States, 2015, 2020 and 2022",10.3886/E210581,https://www.icpsr.umich.edu/sites/icpsr/view/studies/210581,131,7443.0,,,,,,success,,2026-06-01 14:48:09
220701,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985- 2023",10.3886/E220701,https://www.icpsr.umich.edu/sites/icpsr/view/studies/220701,45,389.0,,,,,,success,,2026-06-01 14:48:10
222263,"Ophthalmologists by Census Tract and ZCTA, United States, 1990-2021",10.3886/E222263,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222263,15,239.0,,,,,,success,,2026-06-01 14:48:11
222901,"Hospitals by Census Tract and ZCTA, 2023",10.3886/E222901,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222901,41,352.0,,,,,,success,,2026-06-01 14:48:12
230941,"PRISM Climate of Census Tracts, United States, 1981-2024",10.3886/E230941,https://www.icpsr.umich.edu/sites/icpsr/view/studies/230941,148,1369.0,,,,,,success,,2026-06-01 14:48:13
237305,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",10.3886/E237305,https://www.icpsr.umich.edu/sites/icpsr/view/studies/237305,30,292.0,,,,,,success,,2026-06-01 14:48:14
301419,"Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",10.3886/E301419,https://www.icpsr.umich.edu/sites/icpsr/view/studies/301419,7,,,7.0,0.0,,,success,,2026-06-01 14:48:15
302178,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",10.3886/E302178,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302178,2,,,2.0,0.0,,,success,,2026-06-01 14:48:18
302343,"Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",10.3886/ICPSR302343,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302343,13,,,13.0,0.0,,,success,,2026-06-01 14:48:20
302937,"Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",10.3886/ICPSR302937,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302937,5,,,5.0,0.0,,,success,,2026-06-01 14:48:22
110641,"Street Connectivity by Census Tract, United States, 2010",10.3886/E110641,https://www.openicpsr.org/openicpsr/project/110641/version/V1/view,95,1016.0,,,,,,success,,2026-06-01 14:48:24
111107,"Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",10.3886/E111107,https://www.openicpsr.org/openicpsr/project/111107/version/V1/view,324,3995.0,,,,,,success,,2026-06-01 14:48:25
111109,"Public Transit Stops by Census Tract, United States, 2016-2018",10.3886/E111109,https://www.openicpsr.org/openicpsr/project/111109/version/V1/view,221,2446.0,,,,,,success,,2026-06-01 14:48:26
115006,"Crimes by County, United States, 2002-2014",10.3886/E115006,https://www.openicpsr.org/openicpsr/project/115006/version/V1/view,289,3165.0,,,,,,success,,2026-06-01 14:48:27
115323,"Fast-Food Restaurants by Census Tract, United States, 2006-2015",10.3886/E115323,https://www.openicpsr.org/openicpsr/project/115323/version/V1/view,9,2419.0,,,,,,success,,2026-06-01 14:48:29
115404,"Eating and Drinking Places by Census Tract, United States, 2003-2017",10.3886/E115404,https://www.openicpsr.org/openicpsr/project/115404/version/V1/view,340,2593.0,,,,,,success,,2026-06-01 14:48:30
115407,"Religious Organizations by Census Tract, United States, 2006-2015",10.3886/E115407,https://www.openicpsr.org/openicpsr/project/115407/version/V1/view,4,372.0,,,,,,success,,2026-06-01 14:48:31
115408,"Civic and Social Organizations by Census Tract, United States, 2006-2015",10.3886/E115408,https://www.openicpsr.org/openicpsr/project/115408/version/V1/view,9,549.0,,,,,,success,,2026-06-01 14:48:32
115543," Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",10.3886/E115543,https://www.openicpsr.org/openicpsr/project/115543/version/V1/view,301,2398.0,,,,,,success,,2026-06-01 14:48:34
115967," Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",10.3886/E115967,https://www.openicpsr.org/openicpsr/project/115967/version/V1/view,267,2234.0,,,,,,success,,2026-06-01 14:48:35
115972," Retail Establishments by Census Tract, United States, 2003-2017",10.3886/E115972,https://www.openicpsr.org/openicpsr/project/115972/version/V1/view,205,1941.0,,,,,,success,,2026-06-01 14:48:36
115973," Law Enforcement Organizations by Census Tract, United States, 2003-2017",10.3886/E115973,https://www.openicpsr.org/openicpsr/project/115973/version/V1/view,143,1521.0,,,,,,success,,2026-06-01 14:48:38
115981," Personal Care Services and Laundromats by Census Tract, United States, 2003-2017",10.3886/E115981,https://www.openicpsr.org/openicpsr/project/115981/version/V1/view,137,1123.0,,,,,,success,,2026-06-01 14:48:39
117163,"Social Services by Census Tract, United States, 2003-2017",10.3886/E117163,https://www.openicpsr.org/openicpsr/project/117163/version/V1/view,316,2327.0,,,,,,success,,2026-06-01 14:48:40
117866,"Broadband Internet Availability, Speed, and Adoption by Census Tract, United States, 2014-2020",10.3886/E117866,https://www.openicpsr.org/openicpsr/project/117866/version/V1/view,228,2453.0,,,,,,success,,2026-06-01 14:48:42
117921,"Parks by Census Tract, United States, 2018",10.3886/E117921,https://www.openicpsr.org/openicpsr/project/117921/version/V1/view,403,3758.0,,,,,,success,,2026-06-01 14:48:43
119451," Socioeconomic Status and Demographic Characteristics of Census Tracts, United States, 2008-2017",10.3886/E119451,https://www.openicpsr.org/openicpsr/project/119451/version/V1/view,529,4640.0,,,,,,success,,2026-06-01 14:48:44
119803,"Parks by ZIP Code Tabulation Area, United States, 2018",10.3886/E119803,https://www.openicpsr.org/openicpsr/project/119803/version/V1/view,163,2148.0,,,,,,success,,2026-06-01 14:48:45
120462,"Socioeconomic Status and Demographic Characteristics of ZIP Code Tabulation Areas, United States, 2008-2017",10.3886/E120462,https://www.openicpsr.org/openicpsr/project/120462/version/V1/view,533,17833.0,,,,,,success,,2026-06-01 14:48:47
120463,"Health Care Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E120463,https://www.openicpsr.org/openicpsr/project/120463/version/V1/view,201,1991.0,,,,,,success,,2026-06-01 14:48:48
120907,"Health Care Services by Census Tract, United States, 2003-2017",10.3886/E120907,https://www.openicpsr.org/openicpsr/project/120907/version/V1/view,484,4055.0,,,,,,success,,2026-06-01 14:48:50
121741,"Eating and Drinking Places by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E121741,https://www.openicpsr.org/openicpsr/project/121741/version/V1/view,88,1024.0,,,,,,success,,2026-06-01 14:48:51
123001,"Grocery Stores by Census Tract, United States, 2003-2017",10.3886/E123001,https://www.openicpsr.org/openicpsr/project/123001/version/V1/view,371,2548.0,,,,,,success,,2026-06-01 14:48:52
123042,"Grocery Stores by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E123042,https://www.openicpsr.org/openicpsr/project/123042/version/V1/view,134,2102.0,,,,,,success,,2026-06-01 14:48:54
123541,"Liquor, Tobacco, and Convenience Stores by Census Tract, United States, 2003-2017",10.3886/E123541,https://www.openicpsr.org/openicpsr/project/123541/version/V1/view,188,1578.0,,,,,,success,,2026-06-01 14:48:55
123542,"Liquor, Tobacco, and Convenience Stores by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E123542,https://www.openicpsr.org/openicpsr/project/123542/version/V1/view,51,580.0,,,,,,success,,2026-06-01 14:48:56
123801,"Dollar Stores by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E123801,https://www.openicpsr.org/openicpsr/project/123801/version/V1/view,48,685.0,,,,,,success,,2026-06-01 14:48:58
123802,"Dollar Stores by Census Tract, United States, 2003-2017",10.3886/E123802,https://www.openicpsr.org/openicpsr/project/123802/version/V1/view,126,974.0,,,,,,success,,2026-06-01 14:48:59
124721,"Religious, Civic, and Social Organizations by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E124721,https://www.openicpsr.org/openicpsr/project/124721/version/V1/view,115,1720.0,,,,,,success,,2026-06-01 14:49:00
124801,"Law Enforcement Organizations by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E124801,https://www.openicpsr.org/openicpsr/project/124801/version/V1/view,41,470.0,,,,,,success,,2026-06-01 14:49:02
125223,"Arts, Entertainment, and Recreation Organizations by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E125223,https://www.openicpsr.org/openicpsr/project/125223/version/V1/view,104,820.0,,,,,,success,,2026-06-01 14:49:03
125781,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2018",10.3886/E125781,https://www.openicpsr.org/openicpsr/project/125781/version/V1/view,303,4480.0,,,,,,success,,2026-06-01 14:49:05
126082,"Social Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E126082,https://www.openicpsr.org/openicpsr/project/126082/version/V1/view,85,759.0,,,,,,success,,2026-06-01 14:49:06
127042,"Retail Establishments by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E127042,https://www.openicpsr.org/openicpsr/project/127042/version/V1/view,68,1001.0,,,,,,success,,2026-06-01 14:49:08
127262,"Personal Care Services and Laundromats by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E127262,https://www.openicpsr.org/openicpsr/project/127262/version/V1/view,34,431.0,,,,,,success,,2026-06-01 14:49:09
