study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,scrape_status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",10.3886/ICPSR38506,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,4646,,22.0,1099.0,3547.0,796.0,198.0,success,,2026-09-01 13:45:02
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",10.3886/ICPSR38528,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,21678,,148.0,5849.0,15829.0,864.0,144.0,success,,2026-09-01 13:45:04
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",10.3886/ICPSR38559,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,873,,4.0,268.0,605.0,123.0,46.0,success,,2026-09-01 13:45:05
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",10.3886/ICPSR38567,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,1399,,7.0,428.0,971.0,182.0,60.0,success,,2026-09-01 13:45:07
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",10.3886/ICPSR38569,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,2210,,3.0,881.0,1329.0,113.0,48.0,success,,2026-09-01 13:45:08
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/ICPSR38579,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,1451,,1.0,451.0,1000.0,70.0,29.0,success,,2026-09-01 13:45:09
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38580,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,3854,,8.0,1310.0,2544.0,151.0,51.0,success,,2026-09-01 13:45:11
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",10.3886/ICPSR38584,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,1862,,11.0,570.0,1292.0,228.0,61.0,success,,2026-09-01 13:45:12
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38585,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,1377,,5.0,451.0,926.0,101.0,40.0,success,,2026-09-01 13:45:14
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",10.3886/ICPSR38586,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,5294,,40.0,1729.0,3565.0,361.0,99.0,success,,2026-09-01 13:45:15
38597,"Polluting Sites by Census Tract and ZIP Code Tabulation Area, United States, 1987-2021",10.3886/ICPSR38597,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38597,3879,,8.0,1458.0,2421.0,198.0,67.0,success,,2026-09-01 13:45:16
38598,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985-2023",10.3886/ICPSR38598,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38598,3236,,30.0,1032.0,2204.0,245.0,64.0,success,,2026-09-01 13:45:18
38605,"Public Transit Stops by Census Tract and ZIP Code Tabulation Area, United States, 2016-2018 and 2024",10.3886/ICPSR38605,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38605,2881,,21.0,716.0,2165.0,211.0,67.0,success,,2026-09-01 13:45:19
38606,"Urbanicity by Census Tract, United States, 2010",10.3886/ICPSR38606,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38606,666,,10.0,221.0,445.0,142.0,54.0,success,,2026-09-01 13:45:20
38649,"Crimes by County, United States, 2002-2014",10.3886/ICPSR38649,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38649,2154,,6.0,887.0,1267.0,205.0,70.0,success,,2026-09-01 13:45:22
38858,"Weather by County, United States, 2003-2016",10.3886/ICPSR38858,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38858,23189,,3.0,10559.0,12630.0,100.0,40.0,success,,2026-09-01 13:45:23
38974,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2016-2020",10.3886/ICPSR38974,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38974,377,,0.0,127.0,250.0,67.0,26.0,success,,2026-09-01 13:45:25
39093,"Home Mortgage Disclosure Act Longitudinal Dataset by Census Tract, United States, 1981-2021",10.3886/ICPSR39093,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39093,28245,,8.0,8024.0,20221.0,300.0,79.0,success,,2026-09-01 13:45:26
39378,"Hospitals by Census Tract and ZIP Code Tabulation Area, United States, 2023",10.3886/ICPSR39378,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39378,954,,0.0,257.0,697.0,82.0,34.0,success,,2026-09-01 13:45:28
120088,Code for merging ZCTA level datasets with the UDS Mapper ZIP code to ZCTA crosswalk,10.3886/E120088,https://www.icpsr.umich.edu/sites/icpsr/view/studies/120088,209,4022.0,,,,,,success,,2026-09-01 13:45:29
127681," Education and Training Services by Census Tract, United States, 2003-2017",10.3886/E127681,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127681,166,1148.0,,,,,,success,,2026-09-01 13:45:30
127682,"Education and Training Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E127682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127682,27,468.0,,,,,,success,,2026-09-01 13:45:31
141121,"Historic Redlining Indicator for 2000, 2010, and 2020 US Census Tracts",10.3886/E141121,https://www.icpsr.umich.edu/sites/icpsr/view/studies/141121,2942,28073.0,,,,,,success,,2026-09-01 13:45:33
190141,Special Data Release for Neighborhood Context and Alzheimer's Disease and Related Dementias,10.3886/E190141,https://www.icpsr.umich.edu/sites/icpsr/view/studies/190141,0,751.0,,,,,,success,,2026-09-01 13:45:34
200038,"Libraries by Census Tract and ZIP Code Tabulation Area, United States, 1992-2021",10.3886/ICPSR200038,https://www.icpsr.umich.edu/sites/nanda/view/studies/200038/versions/V5.0,9,,,9.0,0.0,,,success,,2026-09-01 13:45:35
207966,"Civic, Social, and Religious Organizations by Census Tract and ZCTA, United States, 1990-2022",10.3886/E207966,https://www.icpsr.umich.edu/sites/icpsr/view/studies/207966,289,1329.0,,,,,,success,,2026-09-01 13:45:37
208207,"Social Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208207,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208207,286,1756.0,,,,,,success,,2026-09-01 13:45:38
208366,"Post Offices and Banks by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208366,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208366,83,442.0,,,,,,success,,2026-09-01 13:45:40
208682,"Retail Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208682,188,1280.0,,,,,,success,,2026-09-01 13:45:41
208684,"Law Enforcement by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208684,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208684,114,813.0,,,,,,success,,2026-09-01 13:45:42
208751,"Eating and Drinking Places by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208751,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208751,325,1288.0,,,,,,success,,2026-09-01 13:45:44
208906,"Personal Care Services and Laundry by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208906,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208906,97,399.0,,,,,,success,,2026-09-01 13:45:45
208907,"Liquor, Tobacco, Cannabis, Vape, and Convenience Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208907,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208907,236,2043.0,,,,,,success,,2026-09-01 13:45:46
209050,"Healthcare Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209050,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209050,396,2097.0,,,,,,success,,2026-09-01 13:45:48
209163,"Arts, Entertainment, and Leisure Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209163,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209163,217,1250.0,,,,,,success,,2026-09-01 13:45:49
209164,"Recreational Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209164,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209164,204,934.0,,,,,,success,,2026-09-01 13:45:51
209313,"Grocery and Food Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209313,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209313,398,2259.0,,,,,,success,,2026-09-01 13:45:52
209324,"Dollar Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209324,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209324,52,310.0,,,,,,success,,2026-09-01 13:45:54
210581,"Standardized Area Deprivation Index (ADI) by Census Block Group, United States, 2015, 2020 and 2022",10.3886/E210581,https://www.icpsr.umich.edu/sites/icpsr/view/studies/210581,144,7688.0,,,,,,success,,2026-09-01 13:45:55
220701,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985- 2023",10.3886/E220701,https://www.icpsr.umich.edu/sites/icpsr/view/studies/220701,46,408.0,,,,,,success,,2026-09-01 13:45:57
222263,"Ophthalmologists by Census Tract and ZCTA, United States, 1990-2021",10.3886/E222263,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222263,16,262.0,,,,,,success,,2026-09-01 13:45:58
222901,"Hospitals by Census Tract and ZCTA, 2023",10.3886/E222901,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222901,42,373.0,,,,,,success,,2026-09-01 13:45:59
230941,"PRISM Climate of Census Tracts, United States, 1981-2024",10.3886/E230941,https://www.icpsr.umich.edu/sites/icpsr/view/studies/230941,171,1584.0,,,,,,success,,2026-09-01 13:46:00
237305,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",10.3886/E237305,https://www.icpsr.umich.edu/sites/icpsr/view/studies/237305,35,331.0,,,,,,success,,2026-09-01 13:46:01
301419,"Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",10.3886/E301419,https://www.icpsr.umich.edu/sites/icpsr/view/studies/301419,31,,,31.0,0.0,,,success,,2026-09-01 13:46:03
302178,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",10.3886/E302178,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302178,7,,,7.0,0.0,,,success,,2026-09-01 13:46:04
302343,"Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",10.3886/ICPSR302343,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302343,21,,,21.0,0.0,,,success,,2026-09-01 13:46:05
302937,"Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",10.3886/ICPSR302937,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302937,12,,,12.0,0.0,,,success,,2026-09-01 13:46:06
110641,"Street Connectivity by Census Tract, United States, 2010",10.3886/E110641,https://www.openicpsr.org/openicpsr/project/110641/version/V1/view,95,1054.0,,,,,,success,,2026-09-01 13:46:07
111107,"Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",10.3886/E111107,https://www.openicpsr.org/openicpsr/project/111107/version/V1/view,324,4146.0,,,,,,success,,2026-09-01 13:46:09
111109,"Public Transit Stops by Census Tract, United States, 2016-2018",10.3886/E111109,https://www.openicpsr.org/openicpsr/project/111109/version/V1/view,221,2520.0,,,,,,success,,2026-09-01 13:46:10
115006,"Crimes by County, United States, 2002-2014",10.3886/E115006,https://www.openicpsr.org/openicpsr/project/115006/version/V1/view,0,,,,,,,success,"openicpsr-usage fallback: HTTPSConnectionPool(host='pcms.icpsr.umich.edu', port=443): Read timed out. (read timeout=30)",2026-09-01 13:46:11
115323,"Fast-Food Restaurants by Census Tract, United States, 2006-2015",10.3886/E115323,https://www.openicpsr.org/openicpsr/project/115323/version/V1/view,9,2537.0,,,,,,success,,2026-09-01 13:46:42
115404,"Eating and Drinking Places by Census Tract, United States, 2003-2017",10.3886/E115404,https://www.openicpsr.org/openicpsr/project/115404/version/V1/view,340,2698.0,,,,,,success,,2026-09-01 13:46:44
115407,"Religious Organizations by Census Tract, United States, 2006-2015",10.3886/E115407,https://www.openicpsr.org/openicpsr/project/115407/version/V1/view,4,381.0,,,,,,success,,2026-09-01 13:46:46
115408,"Civic and Social Organizations by Census Tract, United States, 2006-2015",10.3886/E115408,https://www.openicpsr.org/openicpsr/project/115408/version/V1/view,9,550.0,,,,,,success,,2026-09-01 13:46:47
115543," Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",10.3886/E115543,https://www.openicpsr.org/openicpsr/project/115543/version/V1/view,302,2513.0,,,,,,success,,2026-09-01 13:46:48
115967," Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",10.3886/E115967,https://www.openicpsr.org/openicpsr/project/115967/version/V1/view,267,2349.0,,,,,,success,,2026-09-01 13:46:50
115972," Retail Establishments by Census Tract, United States, 2003-2017",10.3886/E115972,https://www.openicpsr.org/openicpsr/project/115972/version/V1/view,205,2006.0,,,,,,success,,2026-09-01 13:46:51
115973," Law Enforcement Organizations by Census Tract, United States, 2003-2017",10.3886/E115973,https://www.openicpsr.org/openicpsr/project/115973/version/V1/view,143,1565.0,,,,,,success,,2026-09-01 13:46:53
115981," Personal Care Services and Laundromats by Census Tract, United States, 2003-2017",10.3886/E115981,https://www.openicpsr.org/openicpsr/project/115981/version/V1/view,137,1181.0,,,,,,success,,2026-09-01 13:46:54
117163,"Social Services by Census Tract, United States, 2003-2017",10.3886/E117163,https://www.openicpsr.org/openicpsr/project/117163/version/V1/view,316,2422.0,,,,,,success,,2026-09-01 13:46:55
117866,"Broadband Internet Availability, Speed, and Adoption by Census Tract, United States, 2014-2020",10.3886/E117866,https://www.openicpsr.org/openicpsr/project/117866/version/V1/view,0,,,,,,,success,"openicpsr-usage fallback: HTTPSConnectionPool(host='pcms.icpsr.umich.edu', port=443): Read timed out. (read timeout=30)",2026-09-01 13:46:57
117921,"Parks by Census Tract, United States, 2018",10.3886/E117921,https://www.openicpsr.org/openicpsr/project/117921/version/V1/view,403,3856.0,,,,,,success,,2026-09-01 13:47:28
119451," Socioeconomic Status and Demographic Characteristics of Census Tracts, United States, 2008-2017",10.3886/E119451,https://www.openicpsr.org/openicpsr/project/119451/version/V1/view,529,4823.0,,,,,,success,,2026-09-01 13:47:29
119803,"Parks by ZIP Code Tabulation Area, United States, 2018",10.3886/E119803,https://www.openicpsr.org/openicpsr/project/119803/version/V1/view,163,2215.0,,,,,,success,,2026-09-01 13:47:30
120462,"Socioeconomic Status and Demographic Characteristics of ZIP Code Tabulation Areas, United States, 2008-2017",10.3886/E120462,https://www.openicpsr.org/openicpsr/project/120462/version/V1/view,533,19461.0,,,,,,success,,2026-09-01 13:47:32
120463,"Health Care Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E120463,https://www.openicpsr.org/openicpsr/project/120463/version/V1/view,201,2053.0,,,,,,success,,2026-09-01 13:47:33
120907,"Health Care Services by Census Tract, United States, 2003-2017",10.3886/E120907,https://www.openicpsr.org/openicpsr/project/120907/version/V1/view,484,4191.0,,,,,,success,,2026-09-01 13:47:34
121741,"Eating and Drinking Places by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E121741,https://www.openicpsr.org/openicpsr/project/121741/version/V1/view,88,1092.0,,,,,,success,,2026-09-01 13:47:36
123001,"Grocery Stores by Census Tract, United States, 2003-2017",10.3886/E123001,https://www.openicpsr.org/openicpsr/project/123001/version/V1/view,371,2621.0,,,,,,success,,2026-09-01 13:47:37
