study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",10.3886/ICPSR38506,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,4697,,18.0,1115.0,3582.0,827.0,200.0,success,,2026-05-01 16:43:34
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",10.3886/ICPSR38528,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,20280,,134.0,5572.0,14708.0,863.0,145.0,success,,2026-05-01 16:43:36
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",10.3886/ICPSR38559,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,939,,4.0,281.0,658.0,135.0,46.0,success,,2026-05-01 16:43:37
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",10.3886/ICPSR38567,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,1505,,7.0,462.0,1043.0,200.0,62.0,success,,2026-05-01 16:43:39
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",10.3886/ICPSR38569,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,2435,,2.0,942.0,1493.0,134.0,51.0,success,,2026-05-01 16:43:40
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/ICPSR38579,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,1773,,1.0,530.0,1243.0,89.0,34.0,success,,2026-05-01 16:43:41
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38580,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,3901,,8.0,1315.0,2586.0,155.0,52.0,success,,2026-05-01 16:43:43
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",10.3886/ICPSR38584,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,1844,,11.0,561.0,1283.0,228.0,58.0,success,,2026-05-01 16:43:44
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38585,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,1277,,5.0,417.0,860.0,96.0,39.0,success,,2026-05-01 16:43:45
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",10.3886/ICPSR38586,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,5179,,36.0,1686.0,3493.0,364.0,102.0,success,,2026-05-01 16:43:47
