study_id,year,month,data_downloads,documentation_downloads,total_downloads,timestamp
38506,2022,9,13,39,52,2026-05-13 10:54:26
38506,2022,10,9,38,47,2026-05-13 10:54:26
38506,2022,11,13,36,49,2026-05-13 10:54:26
38506,2022,12,3,8,11,2026-05-13 10:54:26
38506,2023,1,5,16,21,2026-05-13 10:54:26
38506,2023,2,4,10,14,2026-05-13 10:54:26
38506,2023,3,8,31,39,2026-05-13 10:54:26
38506,2023,4,27,66,93,2026-05-13 10:54:26
38506,2023,5,5,17,22,2026-05-13 10:54:26
38506,2023,6,7,19,26,2026-05-13 10:54:26
38506,2023,7,1,2,3,2026-05-13 10:54:26
38506,2023,8,1,6,7,2026-05-13 10:54:26
38506,2023,9,4,11,15,2026-05-13 10:54:26
38506,2023,10,12,26,38,2026-05-13 10:54:26
38506,2023,11,5,15,20,2026-05-13 10:54:26
38506,2023,12,7,17,24,2026-05-13 10:54:26
38506,2024,1,9,29,38,2026-05-13 10:54:26
38506,2024,2,9,25,34,2026-05-13 10:54:26
38506,2024,3,20,49,69,2026-05-13 10:54:26
38506,2024,4,23,57,80,2026-05-13 10:54:26
38506,2024,5,25,59,84,2026-05-13 10:54:26
38506,2024,6,6,15,21,2026-05-13 10:54:26
38506,2024,7,9,27,36,2026-05-13 10:54:26
38506,2024,8,9,22,31,2026-05-13 10:54:26
38506,2024,9,18,53,71,2026-05-13 10:54:26
38506,2024,10,41,138,179,2026-05-13 10:54:26
38506,2024,11,43,148,191,2026-05-13 10:54:26
38506,2024,12,24,76,100,2026-05-13 10:54:26
38506,2025,1,23,80,103,2026-05-13 10:54:26
38506,2025,2,51,168,219,2026-05-13 10:54:26
38506,2025,3,77,252,329,2026-05-13 10:54:26
38506,2025,4,86,284,370,2026-05-13 10:54:26
38506,2025,5,31,101,132,2026-05-13 10:54:26
38506,2025,6,36,117,153,2026-05-13 10:54:26
38506,2025,7,37,127,164,2026-05-13 10:54:26
38506,2025,8,20,64,84,2026-05-13 10:54:26
38506,2025,9,31,109,140,2026-05-13 10:54:26
