study_id,archive,deposit_via,status,title,version,version_date,doi,url
38506,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",V2,10/14/2024,10.3886/ICPSR38506.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506
38528,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",V6,10/27/2025,10.3886/ICPSR38528.v6,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view
38559,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",V1,9/29/2022,10.3886/ICPSR38559.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559
38567,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",V1,11/14/2022,10.3886/ICPSR38567.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567
38569,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",V1,10/10/2022,10.3886/ICPSR38569.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569
38579,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",V2,11/14/2022,10.3886/ICPSR38579.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579
38580,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V3,11/19/2025,10.3886/ICPSR38580.v3,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580
38584,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",V2,11/10/2022,10.3886/ICPSR38584.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584
38585,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V2,5/20/2024,10.3886/ICPSR38585.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585
38586,ICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",V2,11/29/2023,10.3886/ICPSR38586.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586
